fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-03-05,67,1,50,1,0.014925373134328358,0.02
2020-03-13,57,2,46,1,0.03508771929824561,0.021739130434782608
2020-03-19,67,3,67,3,0.04477611940298507,0.04477611940298507
2020-03-24,66,1,60,1,0.015151515151515152,0.016666666666666666
2020-03-26,54,1,50,1,0.018518518518518517,0.02
2020-03-27,32,4,30,4,0.125,0.13333333333333333
2020-03-28,5,1,3,1,0.2,0.3333333333333333
2020-03-29,16,5,16,6,0.3125,0.375
2020-03-30,50,3,47,2,0.06,0.0425531914893617
2020-03-31,26,4,24,4,0.15384615384615385,0.16666666666666666
2020-04-01,20,1,17,1,0.05,0.058823529411764705
2020-04-02,42,6,35,3,0.14285714285714285,0.08571428571428572
2020-04-03,31,4,24,4,0.12903225806451613,0.16666666666666666
2020-04-04,69,14,67,14,0.2028985507246377,0.208955223880597
2020-04-05,2358,540,2173,493,0.22900763358778625,0.22687528762080073
2020-04-06,946,218,808,180,0.23044397463002114,0.22277227722772278
2020-04-07,1283,174,1065,151,0.13561964146531566,0.14178403755868543
2020-04-08,1142,212,991,181,0.18563922942206654,0.18264379414732593
2020-04-09,572,109,495,91,0.19055944055944055,0.18383838383838383
2020-04-10,693,166,595,146,0.23953823953823955,0.2453781512605042
2020-04-11,237,77,223,71,0.32489451476793246,0.3183856502242152
2020-04-12,169,75,135,60,0.4437869822485207,0.4444444444444444
2020-04-13,911,277,732,232,0.3040614709110867,0.31693989071038253
2020-04-14,880,244,727,196,0.2772727272727273,0.2696011004126547
2020-04-15,877,284,760,253,0.3238312428734322,0.33289473684210524
2020-04-16,1209,334,1052,270,0.2762613730355666,0.25665399239543724
2020-04-17,1237,340,1064,289,0.274858528698464,0.2716165413533835
